Etymon pt-PT	hiTenTen21 Relative (1)	Headword	hiTenTen21 Absolute (1)	Headword (Hi)	Etymon pt-PT New Spelling	DALGADO Pt-Lemma	Etymology	Etymology Free	Etymology Full	Etymology Full 2	Alternative Etymology (1)	Transliteration	Urdu 	Part of Speech	Pronunciation	Gender	Definition	Domain	ODomain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural	Etymon pt-PT_1
fita		फ़ीता	0	फ़ीता		fita	fita (Source: Dalgado)	fita (Source: Dalgado)	hi फ़ीता < pt fita (Source: Dalgado) .	pt fita (Source: Dalgado) .		fītā	 ⁧فیتہ⁩	noun	(Delhi Hindi) IPA(key): /fiː.t̪ɑː/, [fiː.t̪äː], /pʰiː.t̪ɑː/, [pʰiː.t̪äː]	m.	lace; shoelace & tape; tape measure & ribbon				masc ā-stem	फ़ीता	फ़ीते	फ़ीते	फ़ीते	फ़ीतों	फ़ीतो	estirar
baixel		बजरा		बजरा		? baixel	? baixel (Source: Dalgado); Arabic بغلة https://en.wiktionary.org/wiki/%D8%A8%D8%BA%D9%84%D8%A9 (Source: Dalgado)	? baixel (Source: Dalgado); Arabic بغلة  (Source: Dalgado)	hi बजरा < pt ? baixel (Source: Dalgado) | ar بغلة (Source: Dalgado) .	pt ? baixel (Source: Dalgado) | ar بغلة (Source: Dalgado) .	Arabic بغلة https://en.wiktionary.org/wiki/%D8%A8%D8%BA%D9%84%D8%A9 (Source: Dalgado)	bajrā	بجرا	noun		m.	A kind of boat commonly used for travelling; a large kind of pleasure-boat (round-bottomed and keel-less, — commonly called 'budgerow').											bacia ou bacio
botão		बटन	17333	बटन		botão	botão (Source: Dalgado); English button (Source: Dasa)	botão (Source: Dalgado); English button (Source: Dasa)	hi बटन < pt botão (Source: Dalgado) | en button (Source: Dasa) .	pt botão (Source: Dalgado) | en button (Source: Dasa) .	English button (Source: Dasa)	baṭan	بٹن	noun		m.	button (fastener) &  button (presser)											biscoito
bomba	0.17	बंबा	154	बंबा		bomba	bomba (Source: Dalgado)	bomba (Source: Dalgado)	hi बंबा < pt bomba (Source: Dalgado) .	pt bomba (Source: Dalgado) .		bambā	بمبہ	noun	(Delhi) IPA(key): /bəm.bɑː/, [bɐ̃m.bäː]	m.	pump; water pump & channel, narrow river, creek	military	military	weapons, explosives, devices								beringela
pompa	0.34	बंबा	304	बंबा					hi बंबा < pt pompa .	pt pompa .		bambā	بمبہ⁩	noun	(Delhi Hindi) IPA(key): /bəm.bɑː/, [bɐ̃m.bäː]	m.	pump; water pump & channel, narrow river, creek				masc ā-stem	बंबा	बंबे	बंबे	बंबे	बंबों	बंबो	pistola
verruma		बरमा	131	बरमा		verruma	verruma (Source: Dalgado)	verruma (Source: Dalgado)	hi बरमा < pt verruma (Source: Dalgado) .	pt verruma (Source: Dalgado) .		barmā	برما	noun	(Delhi) IPA(key): /bəɾ.mɑː/, [bɐɾ.mäː]	m.	(tool) drill, borer											tufão
varanda	5.03	बरामदा	4,533	बरामदा		varanda	varanda (Source: Dalgado); Persian bar āmada 'come forth' (Source: McGregor)	varanda (Source: Dalgado); Persian bar āmada 'come forth' (Source: McGregor)	hi बरामदा < pt varanda (Source: Dalgado) | fa bar āmada 'come forth' (Source: McGregor) .	pt varanda (Source: Dalgado) | fa bar āmada 'come forth' (Source: McGregor) .	Persian bar āmada 'come forth' (Source: McGregor)	barāmadā	برامدا	noun	(Delhi Hindi) IPA(key): /bə.ɾɑːm.d̪ɑː/, [bɐ.ɾä̃ːm.d̪äː]	m.	verandah	architecture	architecture		masc ā-stem	बरामदा	बरामदे	बरामदे	बरामदे	बरामदों	बरामदो	toronja
basta		बस	281570	बस		basta	basta (Source: Dalgado); Persian بس https://en.wiktionary.org/wiki/%D8%A8%D8%B3#Persian (Source: Dalgado; Wiktionary; McGregor)	basta (Source: Dalgado); Persian بس  (Source: Dalgado; Wiktionary; McGregor)	hi बस < pt basta (Source: Dalgado) | fa بس (Source: Dalgado, Wiktionary, McGregor) .	pt basta (Source: Dalgado) | fa بس (Source: Dalgado, Wiktionary, McGregor) .	Persian بس https://en.wiktionary.org/wiki/%D8%A8%D8%B3#Persian (Source: Dalgado; Wiktionary; McGregor)	bas	بس	adv.			merely, only											balde
baptismo	1.37	बाप्तिस्मा	1231	बाप्तिस्मा		? baptismo	? baptismo (Source: Dalgado); English baptism (Source: Dalgado)	? baptismo (Source: Dalgado); English baptism (Source: Dalgado)	hi बाप्तिस्मा < pt ? baptismo (Source: Dalgado) | en baptism (Source: Dalgado) .	pt ? baptismo (Source: Dalgado) | en baptism (Source: Dalgado) .	English baptism (Source: Dalgado)	bāptismā	بمبہ	noun	(Delhi Hindi) IPA(key): /bɑːp.t̪ɪs.mɑː/, [bäːp.t̪ɪs.mäː]	m. 	(Christianity) baptism	religion	religion	practices, beliefs and rituals	masc ā-stem	बाप्तिस्मा	बाप्तिस्मे	बाप्तिस्मे	बाप्तिस्मे	बाप्तिस्मों	बाप्तिस्मो	baixel
balde	4.31	बालटी	3,889	बालटी		balde	balde (Source: Dalgado)	balde (Source: Dalgado)	hi बालटी < pt balde (Source: Dalgado) .	pt balde (Source: Dalgado) .		bālaṭī	بالٹی	noun	(Delhi Hindi) IPA(key): /bɑːl.ʈiː/, [bäːl.ʈiː]	f.	bucket, container	objects	objects	domestic items	fem ī-stem	बालटी	बालटी	बालटी	बालटियाँ	बालटियों	बालटियो	bafo
bacia ou bacio		बासन	5613	बासन		bacia ou bacio	bacia ou bacio (Source: Dalgado); Sanskrit भाजन https://kosha.app/word/sa/%E0%A4%AD%E0%A4%BE%E0%A4%9C%E0%A4%A8 (Source: Dalgado)	bacia ou bacio (Source: Dalgado); Sanskrit भाजन  (Source: Dalgado)	hi बासन < pt bacia ou bacio (Source: Dalgado) | sa भाजन (Source: Dalgado) .	pt bacia ou bacio (Source: Dalgado) | sa भाजन (Source: Dalgado) .	Sanskrit भाजन https://kosha.app/word/sa/%E0%A4%AD%E0%A4%BE%E0%A4%9C%E0%A4%A8 (Source: Dalgado)	bāsan	باسن	noun	(Delhi) IPA(key): /bɑː.sən/, [bäː.sɐ̃n]	m.	pot; any container 	household	household	tableware								arrátel
biscoito		बिस्कुट	4,128	बिस्कुट		biscoito	biscoito (Source: Dalgado); English biscuit (Source: Wiktionary)	biscoito (Source: Dalgado); English biscuit (Source: Wiktionary)	hi बिस्कुट < pt biscoito (Source: Dalgado) | en biscuit (Source: Wiktionary) .	pt biscoito (Source: Dalgado) | en biscuit (Source: Wiktionary) .	English biscuit (Source: Wiktionary)	biskuṭ	بسکٹ	noun	(Delhi) IPA(key): /bɪs.kʊʈ/	m.	biscuit, cookie, cracker	culinary	culinary	food / baked goods								basta
beringela		बैंगन	4460	बैंगन		beringela	beringela (Source: Dalgado); Prakrit 𑀯𑀸𑀇𑀁𑀕𑀡 https://en.wiktionary.org/wiki/%F0%91%80%AF%F0%91%80%B8%F0%91%80%87%F0%91%80%81%F0%91%80%95%F0%91%80%A1#Prakrit, from Sanskrit वङ्गन https://en.wiktionary.org/wiki/%E0%A4%B5%E0%A4%99%E0%A5%8D%E0%A4%97%E0%A4%A8#Sanskrit (Source: Wiktionary);  Persian بادنجان https://en.wiktionary.org/wiki/%D8%A8%D8%A7%D8%AF%D9%86%D8%AC%D8%A7%D9%86#Persian (Source: Soares,  Wiktionary) 	beringela (Source: Dalgado); Prakrit 𑀯𑀸𑀇𑀁𑀕𑀡  from Sanskrit वङ्गन  (Source: Wiktionary);  Persian بادنجان  (Source: Soares,  Wiktionary) 	hi बैंगन < pt beringela (Source: Dalgado) | pra 𑀯𑀸𑀇𑀁𑀕𑀡 < sa वङ्गन  (Source: Wiktionary) |  fa بادنجان (Source: Soares,  Wiktionary)  .	sa वङ्गन  (Source: Wiktionary) |  fa بادنجان (Source: Soares,  Wiktionary)  .	Prakrit 𑀯𑀸𑀇𑀁𑀕𑀡 https://en.wiktionary.org/wiki/%F0%91%80%AF%F0%91%80%B8%F0%91%80%87%F0%91%80%81%F0%91%80%95%F0%91%80%A1#Prakrit, from Sanskrit वङ्गन https://en.wiktionary.org/wiki/%E0%A4%B5%E0%A4%99%E0%A5%8D%E0%A4%97%E0%A4%A8#Sanskrit (Source: Wiktionary);  Persian بادنجان https://en.wiktionary.org/wiki/%D8%A8%D8%A7%D8%AF%D9%86%D8%AC%D8%A7%D9%86#Persian (Source: Soares,  Wiktionary) 	baiṅgan	بینگن	noun	(Delhi) IPA(key): /bɛːŋ.ɡən/, [bɛ̃ːŋ.ɡɐ̃n]	m.	eggplant, aubergine, brinjal											baptismo
botelha	24.63	बोतल	22,198	बोतल		? botelha	? botelha (Source: Dalgado); English bottle (Source: Dalgado)	? botelha (Source: Dalgado); English bottle (Source: Dalgado)	hi बोतल < pt ? botelha (Source: Dalgado) | en bottle (Source: Dalgado) .	pt ? botelha (Source: Dalgado) | en bottle (Source: Dalgado) .	English bottle (Source: Dalgado)	bōtal	بوتَل	noun	IPA(key): [ˈbo(ː)t̪əl̪]	f.	bottle	objects	objects	drinkware	fem cons-stem	बोतल	बोतल	बोतल	बोतलें	बोतलों	बोतलो	bomba
bafo		भाप	5890	भाप		? bafo	? bafo (Source: Dalgado); Sanksrit वाष्प https://en.wiktionary.org/wiki/%E0%A4%B5%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%AA#Sanskrit (Source: Dalgado)	? bafo (Source: Dalgado); Sanksrit वाष्प  (Source: Dalgado)	hi भाप < pt ? bafo (Source: Dalgado) | sa वाष्प (Source: Dalgado) .	pt ? bafo (Source: Dalgado) | sa वाष्प (Source: Dalgado) .	Sanksrit वाष्प https://en.wiktionary.org/wiki/%E0%A4%B5%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%AA#Sanskrit (Source: Dalgado)	bhāp	بھاپ	noun		m.	steam, water vapour  & vapour, gas	sensoryPerception	sensory perception	smell								ata
mármore		मरमर	53	मरमर		mármore	mármore (Source: Dalgado); Persian مرمر https://en.wiktionary.org/wiki/%D9%85%D8%B1%D9%85%D8%B1#Persian (Source: Wiktionary, McGregor)	mármore (Source: Dalgado); Persian مرمر  (Source: Wiktionary, McGregor)	hi मरमर < pt mármore (Source: Dalgado) | fa مرمر (Source: Wiktionary, McGregor) .	pt mármore (Source: Dalgado) | fa مرمر (Source: Wiktionary, McGregor) .	Persian مرمر https://en.wiktionary.org/wiki/%D9%85%D8%B1%D9%85%D8%B1#Persian (Source: Wiktionary, McGregor)	marmar	مرمر	noun	(Delhi) IPA(key): /məɾ.məɾ/, [mɐɾ.mɐɾ]	m.	marble	materials	materials	stone types								leilão
mestiço		मस्तीसा	0	मस्तीसा		mestiço	mestiço (Source: Dalgado)	mestiço (Source: Dalgado)	hi मस्तीसा < pt mestiço (Source: Dalgado) .	pt mestiço (Source: Dalgado) .		mastīsā	مَستِیسا	noun		m. or f.	half-caste											mês
mastro	0.24	मस्तूल	219	मस्तूल		mastro	mastro (Source: Dalgado)	mastro (Source: Dalgado)	hi मस्तूल < pt mastro (Source: Dalgado) .	pt mastro (Source: Dalgado) .		mastūla	مستول	noun	(Delhi) IPA(key): /məs.t̪uːl/, [mɐs.t̪uːl]	m.	mast	nautics	nautics	nautical tools, components and materials								mármore
martelo	<0.01	मारतौल	2	मारतौल		martelo	martelo (Source: Dalgado)	martelo (Source: Dalgado)	hi मारतौल < pt martelo (Source: Dalgado) .	pt martelo (Source: Dalgado) .		mārataula	مارتول	noun	(Delhi Hindi) IPA(key): /mɑːɾ.t̪ɔːl/, [mäːɾ.t̪ɔːl]		a heavy hammer, hammer 	objects	objects	tools	masc cons-stem	मारतौल	मारतौल	मारतौल	मारतौल	मारतौलों	मारतौलो	linguiça
mês		मास-कबार	0	मार्तोल		mês	mês (Source: Dalgado)	mês (Source: Dalgado)	hi मार्तोल < pt mês (Source: Dalgado) .	pt mês (Source: Dalgado) .		mās-kabār	ماس کَبار	noun		m.	last day of a month, monthly statement											martelo
mestre		मिस्तरी	0	मास-कबार		mestre	mestre (Source: Dalgado)	mestre (Source: Dalgado)	hi मास-कबार < pt mestre (Source: Dalgado) .	pt mestre (Source: Dalgado) .		mistarī	مستری	noun			skilled tradesman	education	education	leadership and authority								mesa
mestre		मिस्त्री	54	मिस्तरी		mestre	mestre (Source: Dalgado)	mestre (Source: Dalgado)	hi मिस्तरी < pt mestre (Source: Dalgado) .	pt mestre (Source: Dalgado) .		mistarī	مستری	noun	(Delhi) IPA(key): /mɪs.t̪ɾiː/	m.	skilled tradesman	education	education	leadership and authority								mestiço
mestre		मिस्त्री	N	मिस्त्री		mestre	mestre (Source: Dalgado)	mestre (Source: Dalgado)	hi मिस्त्री < pt mestre (Source: Dalgado) .	pt mestre (Source: Dalgado) .		mistrī	 ⁧مِسْتْری⁩	noun	(Delhi Hindi) IPA(key): /mɪs.t̪ɾiː/	m.	mechanic & artisan, craftsman	education	education	leadership and authority	masc ī-stem	मिस्त्री	मिस्त्री	मिस्त्री	मिस्त्री	मिस्त्रियों	मिस्त्रियो	mestre
mesa		मेज़	2319	मेज़		mesa	mesa (Source: Dalgado); Persian میز https://en.wiktionary.org/wiki/%D9%85%DB%8C%D8%B2#Persian (Source: Wiktionary, McGregor)	mesa (Source: Dalgado); Persian میز  (Source: Wiktionary, McGregor)	hi मेज़ < pt mesa (Source: Dalgado) | fa میز (Source: Wiktionary, McGregor) .	pt mesa (Source: Dalgado) | fa میز (Source: Wiktionary, McGregor) .	Persian میز https://en.wiktionary.org/wiki/%D9%85%DB%8C%D8%B2#Persian (Source: Wiktionary, McGregor)	mez	میز	noun	(Delhi) IPA(key): /meːz/, /meːd͡ʒ/	f.	table	furniture	furniture	pieces of furniture								mastro
arrátel		रतल	9	रतल		arrátel	arrátel (Source: Dalgado); Arabic rat̤l (Source: McGregor)	arrátel (Source: Dalgado); Arabic rat̤l (Source: McGregor)	hi रतल < pt arrátel (Source: Dalgado) | ar rat̤l (Source: McGregor) .	pt arrátel (Source: Dalgado) | ar rat̤l (Source: McGregor) .	Arabic rat̤l (Source: McGregor)	ratal	رطل	noun		m.	a pound weight											armário
recibo		रसीद	5471	रसीद		recibo	recibo (Source: Dalgado); Persian رسید (Source: McGregor)	recibo (Source: Dalgado); Persian رسید (Source: McGregor)	hi रसीद < pt recibo (Source: Dalgado) | fa رسید (Source: McGregor) .	pt recibo (Source: Dalgado) | fa رسید (Source: McGregor) .	Persian رسید (Source: McGregor)	rasīd	رسید	noun	(Delhi) IPA(key): /ɾə.siːd̪/, [ɾɐ.siːd̪]	f.	receipt		commerce and business	financial transactions								prego
linguiça		लंगूचा	2	लंगूचा		linguiça	linguiça (Source: Dalgado); Sanskrit लिङ्ग+उच्चयः (Source: Platts)	linguiça (Source: Dalgado); Sanskrit लिङ्ग+उच्चयः (Source: Platts)	hi लंगूचा < pt linguiça (Source: Dalgado) | sa लिङ्ग+उच्चयः (Source: Platts) .	pt linguiça (Source: Dalgado) | sa लिङ्ग+उच्चयः (Source: Platts) .	Sanskrit लिङ्ग+उच्चयः (Source: Platts)	languchā		noun		m.	a sausage											lampada
lampada		लैंप	3339	लैंप		lampada	lampada (Source: Dalgado); English lamp (Source: Dalgado)	lampada (Source: Dalgado); English lamp (Source: Dalgado)	hi लैंप < pt lampada (Source: Dalgado) | en lamp (Source: Dalgado) .	pt lampada (Source: Dalgado) | en lamp (Source: Dalgado) .	English lamp (Source: Dalgado)	laimp	لیمپ	noun		m.	lamp											jogar
sorte		शर्ती	11	शर्ती		sorte	sorte (Source: Dalgado); Arabic شَرْط (Source: Wiktionary)	sorte (Source: Dalgado); Arabic شَرْط (Source: Wiktionary)	hi शर्ती < pt sorte (Source: Dalgado) | ar شَرْط (Source: Wiktionary) .	pt sorte (Source: Dalgado) | ar شَرْط (Source: Wiktionary) .	Arabic شَرْط (Source: Wiktionary)	śart	شرط	noun	(Delhi) IPA(key): /ʃəɾt̪/, [ʃɐɾt̪]	f.	condition, requirement & wager, bet 											salsaparrilha
salada		सलाद	9076	सलाद		salada	salada (Source: Dalgado); French salade (Source: McGregor)	salada (Source: Dalgado); French salade (Source: McGregor)	hi सलाद < pt salada (Source: Dalgado) | fr salade (Source: McGregor) .	pt salada (Source: Dalgado) | fr salade (Source: McGregor) .	French salade (Source: McGregor)	salād		noun		m.	salad											sagu
sagu		सागू	32	सागू		? sagu	? sagu (Source: Dalgado); Indonesian sagu (Source: McGregor)	? sagu (Source: Dalgado); Indonesian sagu (Source: McGregor)	hi सागू < pt ? sagu (Source: Dalgado) | id sagu (Source: McGregor) .	pt ? sagu (Source: Dalgado) | id sagu (Source: McGregor) .	Indonesian sagu (Source: McGregor)	sāgū	ساگو	noun	(Delhi) IPA(key): /sɑː.ɡuː/, [säː.ɡuː]	m.	sago											recibo
sabão		साबुन	11540	साबुन		sabão	sabão (Source: Dalgado); A. ṣābun (Source: McGregor); Persian صابون (Source: Wiktionary)	sabão (Source: Dalgado); A. ṣābun (Source: McGregor); Persian صابون (Source: Wiktionary)	hi साबुन < pt sabão (Source: Dalgado) | ar ṣābun (Source: McGregor) | fa صابون (Source: Wiktionary) .	pt sabão (Source: Dalgado) | ar ṣābun (Source: McGregor) | fa صابون (Source: Wiktionary) .	A. ṣābun (Source: McGregor); Persian صابون (Source: Wiktionary)	sābun	صابن	noun	(Delhi) IPA(key): /sɑː.bʊn/, [säː.bʊ̃n]	m.	soap	cleaningAndHygiene	cleaning and hygiene									querubim
saia		साया	9045	साया		saia	saia (Source: Dalgado)	saia (Source: Dalgado)	hi साया < pt saia (Source: Dalgado) .	pt saia (Source: Dalgado) .		sāyā	سایہ⁩	noun	(Delhi Hindi) IPA(key): /sɑː.jɑː/, [säː.jäː]	m.	petticoat	clothing	clothing	clothing items	masc ā-stem	साया	साए, साये	साए, साये	साए, साये	सायों	सायो	sabão
salsaparrilha	?0.33	सालसा	 ?297	सालसा		NA			 .	 .		sālasā		noun	(Delhi Hindi) IPA(key): /sɑːl.sɑː/, [säːl.säː]	m.	Indian sarsparilla	botany	botany	plants								saia
setembro	142.28	सितंबर	128,243	सितंबर		NA	setembro (Source: Wiktionary); English September (Source: McGregor)	setembro (Source: Wiktionary); English September (Source: McGregor)	hi सितंबर < pt setembro (Source: Wiktionary) | en September (Source: McGregor) .	pt setembro (Source: Wiktionary) | en September (Source: McGregor) .	English September (Source: McGregor)	sitambara	ستمبر	noun		m.	September	calendar	calendar	month								salada
