Etymon pt-PT	hiTenTen21 Relative (1)	Headword	hiTenTen21 Absolute (1)	Headword (Hi)	Etymon pt-PT New Spelling	DALGADO Pt-Lemma	Etymology	Etymology Free	Etymology Full (Work here)	Alternative Etymology (1)	Transliteration	Urdu 	Part of Speech	Pronunciation	Gender	Definition	Domain	ODomain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural	Etymon pt-PT_1
couve	7.8	गोभी	6,775	गोभी		couve	couve (Source: Dalgado); Sanksrit गोजीह्विका (Source: Wiktionary)	couve (Source: Dalgado); Sanksrit गोजीह्विका (Source: Wiktionary)	pt couve (Source: Dalgado) | sa गोजीह्विका ‘the uvula' (Source: Wiktionary) .	Sanksrit गोजीह्विका (Source: Wiktionary)	gobhī	گوبھی	noun	(Delhi Hindi) IPA(key): /ɡoː.bʱiː/	f.	cabbage & cauliflower	food	food	food / vegetables	fem ī-stem	गोभी	गोभी	गोभी	गोभियाँ	गोभियों	गोभियो	cocheiro
chave	7.86	चाबी	7,089	चाबी		chave	chave (Source: Dalgado)	chave (Source: Dalgado)	pt chave (Source: Dalgado) .		cābī	چابی	noun	(Delhi Hindi) IPA(key): /t͡ʃɑː.biː/, [t͡ʃäː.biː]	f.	key 	objects	objects	artifact	fem ī-stem	चाबी	चाबी	चाबी	चाबियाँ	चाबियों	चाबियो	chá
chá		चाय	64719	चाय		chá	chá (Source: Dalgado); Persian [P. cāʾe] (Source: McGregor)	chá (Source: Dalgado); Persian [P. cāʾe] (Source: McGregor)	pt chá (Source: Dalgado) | fa cāʾe (Source: McGregor) .	Persian [P. cāʾe] (Source: McGregor)	cāy	چائے	noun	(Delhi) IPA(key): /t͡ʃɑːj/, [t͡ʃäːj], /t͡ʃɑː.eː/, [t͡ʃäː.eː]	f.	tea (plant, beverage) & cup of tea	culinary	culinary	drinks								casa
chapa		छापा	N	छापा		? chapa	? chapa (Source: Dalgado)	? chapa (Source: Dalgado)	pt ? chapa (Source: Dalgado) .			چھاپہ	noun			a seal, impression, stamp, or brand	materials	materials	construction								católico
janela		जंगला	N	जंगला		janela	janela (Source: Dalgado)	janela (Source: Dalgado)	pt janela (Source: Dalgado) .		jaṅglā	جَن٘گْلا⁩	noun	(Delhi Hindi) IPA(key): /d͡ʒəŋ.ɡlɑː/, [d͡ʒɐ̃ŋ.ɡläː]	m.	fencing, railing & grille-fitted window	architecture	architecture	medical institutions	masc ā-stem	जंगला	जंगले	जंगले	जंगले	जंगलों	जंगलो	inglês
jogar		जुआ		जुआ		jogar	jogar (Source: Dalgado);  Sanskrit द्यूत https://en.wiktionary.org/wiki/%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A5%82%E0%A4%A4#Sanskrit (Source: Wiktionary)	jogar (Source: Dalgado);  Sanskrit द्यूत  (Source: Wiktionary)	pt jogar (Source: Dalgado) |  sa द्यूत ‘gambling, game of dice' (Source: Wiktionary) .	 Sanskrit द्यूत https://en.wiktionary.org/wiki/%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A5%82%E0%A4%A4#Sanskrit (Source: Wiktionary)	juā	جوا	noun	(Delhi) IPA(key): /d͡ʒʊ.ɑː/, [d͡ʒʊ.äː]	m.	gambling	architecture	architecture	building components								jalapa
jogar		जुआरी		जुआरी		jogar	jogar (Source: Dalgado);  Sanskrit द्यूत https://en.wiktionary.org/wiki/%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A5%82%E0%A4%A4#Sanskrit (Source: Wiktionary)	jogar (Source: Dalgado);  Sanskrit द्यूत  (Source: Wiktionary)	pt jogar (Source: Dalgado) |  sa द्यूत ‘gambling, game of dice' (Source: Wiktionary) .	 Sanskrit द्यूत https://en.wiktionary.org/wiki/%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A5%82%E0%A4%A4#Sanskrit (Source: Wiktionary)	juārī	جواری	noun	(Delhi) IPA(key): /d͡ʒʊ.ɑː.ɾiː/, [d͡ʒʊ.äː.ɾiː]	m.	gambler	architecture	architecture	building components								janela
gentio	<0.01	जेंटू	2	जेंटू		NA					jẽṭū	⁧جینٹو⁩	noun	(Delhi Hindi) IPA(key): /d͡ʒẽː.ʈuː/	m.	Gentoo	religion	religion	practices, beliefs and rituals	masc ū-stem	जेंटू	जेंटू	जेंटू	जेंटू	जेंटुओं	जेंटुओ	fita
da Silva	0.06	डीसिल्वा	54	डीसिल्वा			 (Source: Dalgado); 		pt  (Source: Dalgado)  .		ḍīsilvā	⁧ڈی سلوا⁩	proper noun	(Delhi Hindi) IPA(key): /ɖiː.sɪl.ʋɑː/, [ɖiː.sɪl.ʋäː]		a surname from Portuguese, equivalent to English D'Silva or Desilva											cruz
tabaco		तंबाकू	12641	तंबाकू		tabaco	tabaco (Source: Dalgado); Persian تنباکو (Source: Wiktionary)	tabaco (Source: Dalgado); Persian تنباکو (Source: Wiktionary)	pt tabaco (Source: Dalgado) | pt tabaco (Source:Wiktionary) > fa تنباکو (Source: Wiktionary) .	Persian تنباکو (Source: Wiktionary)	tambākū	تنباکو 	noun	(Delhi) IPA(key): /t̪əm.bɑː.kuː/, [t̪ɐ̃m.bäː.kuː]	m.	tobacco											setembro
tambor		तंबूरा	138	तंबूरा		tambor	tambor (Source: Dalgado); Persian tambūra (Source: McGregor)	tambor (Source: Dalgado); Persian tambūra (Source: McGregor)	pt tambor (Source: Dalgado) | pal tmbwl, tnbwl (Source: Wiktionary) > fa تنبور ‘tanbur' (Source: McGregor) .	Persian tambūra (Source: McGregor)	tānpūrā	تنپورا	noun	(Delhi) IPA(key): /t̪ɑːn.puː.ɾɑː/, [t̪ä̃ːn.puː.ɾäː]	m.	tanpura											sorte
toronja		तुरंज	7	तुरंज		toronja	toronja (Source: Dalgado); Persian turanj (Source: McGregor)	toronja (Source: Dalgado); Persian turanj (Source: McGregor)	pt toronja (Source: Dalgado) | fa turanj (Source: McGregor) .	Persian turanj (Source: McGregor)	turanj	ترنج	noun		m.	a kind of citron											tambor
tufão		तूफ़ान	3572	तूफ़ान		? tufão	? tufão (Source: Dalgado); Persian طوفان (Source: Wiktionary, McGregor)	? tufão (Source: Dalgado); Persian طوفان (Source: Wiktionary, McGregor)	pt ? tufão (Source: Dalgado) | fa طوفان (Source: Wiktionary, McGregor) .	Persian طوفان (Source: Wiktionary, McGregor)	tūfān	طوفان	noun	(Delhi) IPA(key): /t̪uː.fɑːn/, [t̪uː.fä̃ːn], /t̪uː.pʰɑːn/, [t̪uː.pʰä̃ːn]	m.	storm, tempest & hurricane											toalha
toalha	3,33	तौलिया	3,006	तौलिया		toalha	toalha (Source: Dalgado); English towel (Source: McGregor)	toalha (Source: Dalgado); English towel (Source: McGregor)	pt toalha (Source: Dalgado) | en towel (Source: McGregor) .	English towel (Source: McGregor)	tauliyā	تَولِیَہ⁩	noun	(Delhi Hindi) IPA(key): /t̪ɔː.lɪ.jɑː/, [t̪ɔː.li.jäː]	m.	towel	household	household	textiles	masc ā-stem	तौलिया	तौलिए, तौलिये	तौलिए, तौलिये	तौलिए, तौलिये	तौलियों	तौलियो	tabaco
dezembro	172.66	दिसंबर	155,631	दिसंबर		NA	English December (Source: McGregor)	English December (Source: McGregor)	ine-pro *deḱm ‘ten’, *deḱm-to- ‘tenth’ (Source: de Vaan) > itc-pro *dekm ‘ten’, *dekamo- ‘tenth’ > la decem + -ber 'pertaining to the tenth (month)' (Source: Ernout-Meillet) > en December (Source: McGregor) .	English December (Source: McGregor)	disambara	دسمبر⁩ 	noun	(Delhi Hindi) IPA(key): /d̪ɪ.səm.bəɾ/, [d̪ɪ.sɐ̃m.bɐɾ]	m.	December	calendar	calendar	month	masc cons-stem	दिसंबर	दिसंबर	दिसंबर	दिसंबर	दिसंबरों	दिसंबरो	cunha
leilão	3.34	नीलाम	3,011	नीलाम		leilão	leilão (Source: Dalgado)	leilão (Source: Dalgado)	pt leilão (Source: Dalgado) .		nīlām	 ⁧نیلام⁩	noun	(Delhi Hindi) IPA(key): /niː.lɑːm/, [niː.lä̃ːm]	m 	auction (a public event where goods are sold through bidding)	commerce_and_business	commerce_and_business	financial transactions	masc cons-stem	नीलाम	नीलाम	नीलाम	नीलाम	नीलामों	नीलामो	jogar
papaia		पपीता	8222	पपीता		papaia	papaia (Source: Dalgado); 	papaia (Source: Dalgado); 	pt papaia (Source: Dalgado)  .		papītā	پپیتا	noun		m.	papaya	botany	botany	fruits								padre
